Annee;Appareil;Commandes;Impressions;Clics;Cout;PM;CA;Reseaurechercher;Mois
2017;Ordinateurs;184,68;633323;7949;1554,42;0;11523,66;37,68 %;novembre
2018;Ordinateurs;183,48;861139;10399;2314,72;0;14729,06;48,33 %;janvier
2016;Téléphones mobiles;182;747132;14556;1787,87;0;182;26,75 %;octobre
2018;Téléphones mobiles;176,53;853510;20147;3403,14;0;12367,48;43,29 %;janvier
2016;Ordinateurs;174;405138;10004;2061,92;0;174;42,07 %;fevrier
2017;Ordinateurs;169,87;516440;6099;1238,69;0;12884,59;36,81 %;decembre
2018;Téléphones mobiles;169,17;801574;16947;2583,13;0;12224,71;35,86 %;mars
2018;Ordinateurs;161,63;790994;9428;2004,52;0;11091,47;45,48 %;mars
2018;Téléphones mobiles;158,89;846620;12476;2054,19;0;8192,67;36,61 %;septembre
2018;Téléphones mobiles;156,33;877577;17552;2648,24;0;9880,98;35,60 %;avril
2018;Ordinateurs;145,1;413939;5010;1094,57;0;8716,67;49,37 %;juin
2017;Téléphones mobiles;142;558744;10541;1389,79;0;142;29,29 %;janvier
2017;Téléphones mobiles;141;514304;10978;1498,9;0;141;21,34 %;fevrier
2017;Téléphones mobiles;138,23;584933;12705;1695,15;0;8626,31;15,46 %;novembre
2018;Téléphones mobiles;135,65;708901;10512;1575,47;0;8118,34;32,94 %;octobre
2016;Téléphones mobiles;127;633272;11999;1478,87;0;127;25,51 %;novembre
2016;Ordinateurs;124;308292;7286;1395,47;0;124;38,04 %;janvier
2018;Téléphones mobiles;122,37;412143;7747;965,85;0;7117,18;23,81 %;mai
2016;Téléphones mobiles;122;382875;6836;928,87;0;122;27,76 %;decembre
2017;Téléphones mobiles;119,47;457510;9276;1266,88;0;7110,71;21,81 %;decembre
2018;Téléphones mobiles;117,58;533232;9018;1319,57;0;8380,11;33,89 %;juin
2016;Téléphones mobiles;112;330273;5873;562,1;0;112;18,28 %;juillet
2018;Ordinateurs;110,65;660425;7381;1409,86;0;7777,32;47,74 %;fevrier
2018;Ordinateurs;103,1;331055;3983;1064,43;0;7169,33;49,57 %;mars
2018;Téléphones mobiles;102,45;509065;7015;1048,86;0;5295,87;33,73 %;juillet
2018;Ordinateurs;100,91;410746;3942;904,07;0;7248,84;56,60 %;juillet
2018;Téléphones mobiles;87,87;385172;7428;1171,28;0;5459,47;35,84 %;mars
2018;Tablettes;81,79;165940;3633;1038,38;0;5750,26;48,73 %;avril
2018;Téléphones mobiles;78,75;603976;13044;1758,13;0;4770,79;37,79 %;fevrier
2018;Ordinateurs;78,64;995936;7813;1975,56;0;6064,31;61,31 %;octobre
2018;Ordinateurs;78,57;604363;4525;1166,62;0;7093,09;56,75 %;septembre
2016;Ordinateurs;78;658890;5158;311,32;3,1;78;16,37 %;decembre
2018;Téléphones mobiles;77,44;813060;11396;1353,46;0;6704,13;30,24 %;octobre
2016;Téléphones mobiles;75;270016;4686;379,25;0;75;25,88 %;juin
2016;Téléphones mobiles;74;366826;7006;736,05;0;74;40,31 %;mai
2016;Ordinateurs;74;511528;5722;358,53;3,4;74;<10%;aout
2016;Ordinateurs;64;586124;5784;355,26;3,4;64;13,02 %;septembre
2018;Tablettes;60,03;118291;2510;797,25;0;5537,88;46,60 %;mai
2016;Téléphones mobiles;59;339699;6569;741,55;0;59;41,18 %;avril
2016;Ordinateurs;56;602574;5905;357,16;2,7;56;10,90 %;juillet
2018;Tablettes;53,87;112333;2095;603,91;0;4178,92;48,69 %;juin
2018;Téléphones mobiles;52,62;711299;9245;1195,98;0;4341,2;30,65 %;septembre
2018;Tablettes;50,11;62026;1204;309,94;0;3546,51;41,79 %;juillet
2016;Tablettes;50;298569;4323;941,61;0;50;34,83 %;juillet
2016;Ordinateurs;50;125115;1873;260,42;2,2;50;37,27 %;septembre
2016;Ordinateurs;49;191640;2477;304,35;2,2;49;48,12 %;octobre
2016;Ordinateurs;48;31712;739;439,75;3,2;48;25,03 %;juin
2017;Ordinateurs;47;643929;7400;438,52;2,6;47;20,82 %;mai
2017;Ordinateurs;45;797922;8746;518,99;2,5;45;20,35 %;mars
2017;Ordinateurs;45;191202;2336;1183,04;2,1;45;<10%;aout
2016;Ordinateurs;43;228651;1872;482,6;2,3;43;11,38 %;juin
2016;Ordinateurs;43;652037;5952;358,36;2,7;43;11,17 %;juin
2017;Ordinateurs;42;643766;7340;437,64;2,7;42;19,37 %;avril
2017;Ordinateurs;42;549367;6577;390,66;2,5;42;22,25 %;juin
2016;Ordinateurs;42;189476;1719;466,72;2,4;42;11,87 %;aout
2016;Ordinateurs;42;699961;5990;355,99;3,2;42;15,15 %;octobre
2018;Téléphones mobiles;41,22;1495;373;24,96;1,7;2130,2;93,50 %;octobre
2016;Ordinateurs;38;269115;2744;687,12;2,1;38;11,66 %;avril
2018;Tablettes;37,24;88637;2112;331,85;0;2284,86;41,23 %;mars
2018;Ordinateurs;37;123923;1433;552,07;0;1710,38;47,22 %;aout
2016;Ordinateurs;37;713895;5892;350,44;3;37;15,54 %;novembre
2016;Ordinateurs;37;182949;2378;281,32;2,2;37;45,36 %;novembre
2018;Tablettes;35,1;61879;1566;253,81;0;1702,46;40,60 %;avril
2016;Tablettes;35;214091;4170;918,52;0;35;51,09 %;mai
2017;Tablettes;35;61147;1320;88,68;0;35;11,38 %;juin
2016;Tablettes;35;67199;1423;124,95;0;35;<10%;septembre
2016;Ordinateurs;34;625195;6115;358,9;2,6;34;<10%;mai
2017;Ordinateurs;34;15925;422;219,87;2,5;34;76,26 %;juin
2016;Ordinateurs;34;217736;1776;470,05;2,4;34;11,35 %;juillet
2016;Tablettes;34;368988;4937;1001,74;0;34;28,78 %;aout
2018;Tablettes;33,65;54304;1165;184,83;0;2389,78;36,23 %;mai
2016;Ordinateurs;33;193823;2042;508,43;2;33;<10%;mars
2017;Ordinateurs;32;862964;3656;1020,24;1,8;32;40,15 %;janvier
2016;Tablettes;32;205980;3972;867,7;0;32;46,22 %;juin
2017;Ordinateurs;32;450749;5257;311,6;2,6;32;22,38 %;juillet
2016;Ordinateurs;32;29833;692;410,06;3,2;32;27,71 %;juillet
2016;Ordinateurs;31;518510;5133;419,14;2,5;31;12,22 %;janvier
2017;Ordinateurs;31;31559;555;326,14;3,5;31;37,88 %;fevrier
2016;Ordinateurs;31;34549;752;443,65;3,3;31;30,21 %;aout
2016;Ordinateurs;31;23714;632;409,31;3,3;31;39,65 %;septembre
2018;Tablettes;30,13;125789;2262;535,9;0;1557,32;54,78 %;aout
2018;Téléphones mobiles;29,86;228909;3080;775,02;0;1422,91;37,83 %;aout
2018;Ordinateurs;29,11;21022;639;686,05;2,1;2045,85;51,18 %;juillet
2016;Ordinateurs;29;263249;2383;583,77;1,9;29;16,64 %;fevrier
2016;Ordinateurs;29;623065;5134;408,56;2,1;29;13,15 %;mars
2016;Téléphones mobiles;27;120994;1931;147,88;0;27;25,27 %;mars
2017;Ordinateurs;27;15136;382;216,45;2,6;27;73,75 %;juillet
2017;Ordinateurs;27;461065;5037;295,62;2,5;27;25,44 %;aout
2016;Ordinateurs;27;39533;789;262,03;3,2;27;27,67 %;septembre
2016;Ordinateurs;27;238501;1738;447,71;2,2;27;10,30 %;septembre
2016;Ordinateurs;27;319962;1646;408,69;2,2;27;<10%;octobre
2017;Tablettes;26;66426;1518;96,39;0;26;<10%;avril
2018;Téléphones mobiles;25,95;1783;355;26,85;1,6;1090,16;94,19 %;septembre
2018;Ordinateurs;25,6;1990;244;21,83;1,8;1822,75;90,73 %;septembre
2016;Ordinateurs;25;50334;845;280,14;3,2;25;21,13 %;aout
2018;Tablettes;24,81;81793;1448;306,34;0;2070,22;56,47 %;juillet
2016;Ordinateurs;24;275109;2292;573,43;1,9;24;17,03 %;janvier
2016;Ordinateurs;24;30691;756;435,09;2,7;24;22,91 %;avril
2016;Ordinateurs;24;143506;1696;200,79;2,2;24;44,33 %;decembre
2017;Ordinateurs;23;64187;760;236,23;2,7;23;26,02 %;mars
2017;Ordinateurs;23;218988;1568;353,32;1,9;23;10,72 %;mars
2016;Tablettes;23;189419;3751;813,49;0;23;54,36 %;avril
2017;Ordinateurs;23;94337;1541;198,8;1,7;23;43,32 %;juillet
2016;Ordinateurs;22;35310;766;429,32;3,1;22;33,64 %;fevrier
2016;Ordinateurs;22;553617;5240;423,31;2,3;22;13,42 %;fevrier
2017;Téléphones mobiles;21,6;36345;973;111,01;1,8;84,3;56,42 %;aout
2017;Ordinateurs;21,5;423029;4260;250,7;2,6;35,3;23,89 %;septembre
2018;Ordinateurs;21,5;1846;244;20,73;1,4;2196,63;92,67 %;octobre
2018;Tablettes;21,2;82457;1714;363,24;0;1053,92;53,96 %;juin
2017;Ordinateurs;21;119639;1770;214,63;1,9;21;39,76 %;mars
2016;Ordinateurs;21;242335;2247;575,12;2,2;21;<10%;mai
2017;Ordinateurs;21;103445;1716;204,36;1,7;21;42,85 %;juin
2017;Ordinateurs;21;76743;814;219,83;3,2;21;34,20 %;juillet
2017;Ordinateurs;20,8;71513;792;306,34;2,7;50,4;37,48 %;septembre
2017;Ordinateurs;20;36488;649;399,83;3,3;20;39,04 %;janvier
2017;Ordinateurs;20;488918;5019;293,55;2,7;20;12,40 %;fevrier
2017;Ordinateurs;20;29157;625;360,13;2,9;20;55,92 %;mars
2017;Téléphones mobiles;20;38348;1121;105,11;1,9;20;50,10 %;avril
2017;Ordinateurs;20;103724;1553;180,95;1,9;20;40,44 %;mai
2016;Ordinateurs;20;26422;469;69,41;2,2;20;34,88 %;aout
2018;Ordinateurs;19,27;735736;4042;587,3;2;1893,38;21,39 %;fevrier
2017;Ordinateurs;19;552039;4523;270,05;3;19;17,01 %;janvier
2017;Ordinateurs;19;102846;1355;155;2;19;46,59 %;fevrier
2017;Ordinateurs;19;92669;1368;164,29;1,9;19;39,42 %;avril
2016;Ordinateurs;19;723561;5315;333,3;2,2;19;12,39 %;avril
2016;Téléphones mobiles;19;10094;530;39,12;2,4;19;43,02 %;juillet
2018;Tablettes;18,23;49058;1118;219,28;0;1060,91;42,38 %;mars
2018;Tablettes;18,2;45983;951;168,1;0;1484,68;39,69 %;septembre
2017;Ordinateurs;18;62193;826;310,42;3,2;18;27,18 %;janvier
2016;Ordinateurs;18;24249;635;365,16;2,7;18;19,11 %;mars
2016;Ordinateurs;18;12557;683;68,17;2,4;18;43,81 %;avril
2017;Téléphones mobiles;18;48533;1336;136,92;1,7;18;54,81 %;juin
2016;Ordinateurs;18;45723;826;274,23;2,8;18;21,16 %;juillet
2017;Tablettes;18;51028;1135;78,29;0;18;10,02 %;juillet
2016;Ordinateurs;17;32920;675;394,79;3,3;17;42,09 %;janvier
2016;Ordinateurs;17;204732;1796;383,61;2,2;17;26,95 %;fevrier
2017;Ordinateurs;17;93048;1150;148,87;1,7;17;48,45 %;septembre
2017;Ordinateurs;17;21842;498;391,9;1,7;17;82,33 %;septembre
2017;Ordinateurs;17;19176;278;224,1;1,9;108,3;76,02 %;octobre
2016;Ordinateurs;17;145423;1086;185,56;3,2;17;25,98 %;octobre
2018;Ordinateurs;16,9;15878;283;106,13;3,3;1152,14;32,72 %;mai
2018;Ordinateurs;16,87;21855;643;744,37;1,9;1088,44;59,82 %;aout
2017;Tablettes;16,45;34340;741;51,36;0;45,29;<10%;septembre
2017;Tablettes;16;79579;1623;95,98;0;16;<10%;mai
2017;Ordinateurs;16;78228;967;385,98;2,7;16;37,04 %;aout
2016;Ordinateurs;16;25456;512;331,9;3,3;16;40,20 %;novembre
2018;Tablettes;15,9;43502;1014;183,71;0;1163;33,04 %;octobre
2018;Ordinateurs;15,54;11097;276;141,03;3,1;1008,65;34,26 %;juin
2018;Tablettes;15,38;45860;1034;152,02;0;814,61;50,25 %;fevrier
2016;Ordinateurs;15;29279;762;439,77;2,9;15;22,07 %;mai
2017;Ordinateurs;15;82448;888;234,41;3,2;15;34,07 %;juin
2017;Téléphones mobiles;15;46016;1286;143,63;1,8;15;54,83 %;juillet
2017;Téléphones mobiles;14,8;216002;1864;245,96;2,5;243,28;10,90 %;octobre
2018;Ordinateurs;14,5;3159;218;111,43;1,8;1614,76;68,49 %;juin
2018;Téléphones mobiles;14,06;25623;730;460,72;1,8;993,22;47,67 %;aout
2016;Ordinateurs;14;208882;1802;383,06;2,4;14;27,42 %;janvier
2017;Téléphones mobiles;14;40490;881;90,5;2,3;14;50,22 %;fevrier
2017;Téléphones mobiles;14;45553;1316;128,87;1,9;14;51,39 %;mars
2016;Ordinateurs;14;50779;982;335,37;2,5;14;17,31 %;avril
2018;Ordinateurs;14;6561;263;117,8;2;989,52;59,87 %;mai
2016;Ordinateurs;14;16696;957;95,88;2,4;14;41,96 %;mai
2017;Ordinateurs;14;86408;878;222,74;3,1;14;34,24 %;mai
2016;Ordinateurs;14;52641;918;300,62;2,7;14;17,23 %;mai
2016;Ordinateurs;14;53982;937;300,93;2,9;14;20,96 %;juin
2017;Tablettes;14;155710;2131;126,29;2,1;14;29,04 %;juillet
2017;Tablettes;14;41218;833;56,34;0;14;<10%;aout
2017;Ordinateurs;14;92571;1312;167,35;1,7;14;47,61 %;aout
2017;Ordinateurs;13;118006;1518;176,05;2,2;13;47,42 %;janvier
2017;Ordinateurs;13;168880;1348;353,51;2,6;13;25,84 %;fevrier
2016;Ordinateurs;13;7623;443;55,12;2,5;13;36,13 %;juin
2016;Ordinateurs;13;6456;371;57,35;2,4;13;37,56 %;juillet
2016;Tablettes;13;50128;895;67,52;0;13;<10%;novembre
2016;Tablettes;13;27232;511;38,55;0;13;10,00 %;decembre
2017;Tablettes;12,5;55205;1033;123,52;0;602,36;19,29 %;decembre
2017;Téléphones mobiles;12,47;21792;709;82,38;1,9;22,39;43,14 %;octobre
2017;Tablettes;12;29441;655;48,98;0;12;10,09 %;fevrier
2017;Ordinateurs;12;161424;1333;363,52;2,6;12;33,50 %;mars
2017;Ordinateurs;12;15230;334;184,74;2,8;12;68,84 %;mai
2017;Ordinateurs;12;123268;876;241,36;2;12;<10%;juin
2017;Ordinateurs;12;68574;643;234,03;2,2;12;<10%;juillet
2018;Téléphones mobiles;12;49573;728;91,96;0;750,53;35,32 %;aout
2017;Ordinateurs;12;55875;654;239,93;2,8;12;30,95 %;octobre
2016;Téléphones mobiles;12;45508;809;83,54;2,6;12;49,20 %;decembre
2016;Ordinateurs;12;263552;1352;353,36;2,1;12;16,96 %;decembre
2017;Tablettes;11,4;47516;965;109,53;0;170,32;<10%;octobre
2017;Ordinateurs;11;235497;1908;633,12;2,4;11;33,98 %;janvier
2017;Ordinateurs;11;160131;1026;251,45;2,1;11;<10%;fevrier
2016;Ordinateurs;11;302557;1067;257,19;1,7;11;<10%;fevrier
2016;Ordinateurs;11;50755;1046;387,65;2,4;11;19,41 %;mars
2018;Téléphones mobiles;11;45843;636;22;2,6;854,64;<10%;avril
2017;Téléphones mobiles;11;44339;1269;118,06;1,9;11;52,44 %;mai
2016;Tablettes;11;118370;1569;98,81;2,7;11;14,01 %;juillet
2018;Ordinateurs;11;2517;156;86,37;1,9;674,04;67,70 %;aout
2016;Ordinateurs;11;140508;1201;209,31;3;11;24,41 %;aout
2016;Ordinateurs;11;139889;1261;213,61;3,2;11;25,17 %;septembre
2016;Ordinateurs;11;35190;571;189,82;2,9;11;38,75 %;octobre
2016;Téléphones mobiles;11;53533;1249;128,48;2,5;11;51,32 %;octobre
2016;Tablettes;11;59713;1171;92,47;0;11;<10%;octobre
2016;Téléphones mobiles;11;53285;1071;108,91;2,6;11;48,13 %;novembre
2018;Téléphones mobiles;10,79;21518;556;304,95;2;434,18;40,76 %;juillet
2018;Tablettes;10,66;67550;1569;219,63;0;736,19;34,12 %;janvier
2018;Ordinateurs;10,65;7584;226;100,06;1,9;778,89;63,70 %;avril
2017;Téléphones mobiles;10;47240;919;95,52;2,7;10;50,14 %;janvier
2017;Tablettes;10;201509;3010;181,1;2,3;10;25,71 %;avril
2017;Ordinateurs;10;83139;807;215,85;3,1;10;32,90 %;avril
2016;Ordinateurs;10;149879;1320;234,95;2,5;10;24,55 %;juin
2016;Téléphones mobiles;10;18579;568;41,97;2,9;10;36,01 %;aout
2016;Téléphones mobiles;10;41022;1053;111,13;2,5;10;49,98 %;septembre
2016;Ordinateurs;10;15032;357;234,6;2,8;10;61,14 %;octobre
2016;Ordinateurs;10;214334;1012;262,18;2,4;10;<10%;novembre
2016;Ordinateurs;10;30879;553;498,38;2,8;10;34,23 %;decembre
2018;Ordinateurs;9,97;29708;490;57,43;2,5;703,2;23,91 %;octobre
2017;Tablettes;9,8;76166;1496;174,36;0;1098,63;13,24 %;novembre
2016;Tablettes;9;104575;1753;348,18;0;9;52,40 %;janvier
2016;Ordinateurs;9;74034;1174;452,28;2,9;9;28,48 %;fevrier
2018;Téléphones mobiles;9;580935;3841;454,98;1,5;609,15;22,01 %;fevrier
2016;Téléphones mobiles;9;9001;412;22,7;2,3;9;41,56 %;juin
2017;Ordinateurs;9;15788;387;278,64;2,3;9;76,48 %;aout
2016;Tablettes;9;105427;1526;97,44;3,2;9;13,71 %;aout
2018;Tablettes;9;56037;885;177,34;0;669,82;42,57 %;septembre
2017;Ordinateurs;8,83;343466;2887;171,64;2,6;64,57;20,66 %;octobre
2018;Téléphones mobiles;8,55;14622;473;120,8;1,9;576,25;34,49 %;avril
2018;Téléphones mobiles;8,51;99652;641;151,67;2,8;387,35;10,42 %;octobre
2018;Ordinateurs;8,5;136082;1061;68,51;2,7;613,37;10,97 %;avril
2018;Ordinateurs;8,5;23901;235;47,81;0;442,09;47,82 %;aout
2018;Téléphones mobiles;8,24;126005;903;40,45;1,9;649,15;11,29 %;mars
2016;Ordinateurs;8;91165;1160;467,91;3;8;32,20 %;janvier
2017;Téléphones mobiles;8;6482;130;5,17;3;8;<10%;janvier
2017;Tablettes;8;36823;724;52,89;0;8;<10%;janvier
2017;Ordinateurs;8;51678;686;245,6;2,9;8;22,11 %;fevrier
2016;Tablettes;8;130257;2446;525,89;0;8;57,06 %;fevrier
2016;Tablettes;8;172522;3367;728,3;0;8;59,77 %;mars
2018;Ordinateurs;8;215195;1317;90,54;2,5;483,56;15,44 %;mars
2017;Tablettes;8;241549;3410;207,12;2,1;8;27,51 %;mars
2017;Ordinateurs;8;16293;347;190,68;3,1;8;62,69 %;avril
2017;Ordinateurs;8;419141;1708;288,84;2,7;100,7;11,80 %;octobre
2017;Ordinateurs;8;19910;374;147,79;2,2;539,47;67,71 %;novembre
2016;Ordinateurs;8;45150;583;194,44;3,7;8;19,45 %;decembre
2018;Ordinateurs;7,8;785123;3653;210,26;2,6;1054,91;20,95 %;janvier
2018;Ordinateurs;7,5;2704;187;90,54;1,9;412,9;69,81 %;juillet
2018;Téléphones mobiles;7,5;2741;92;34,62;3,4;427,31;58,99 %;octobre
2018;Ordinateurs;7,4;2385;136;84,14;1,9;446,27;64,88 %;septembre
2017;Tablettes;7,4;114901;1418;85,9;2,2;39,19;30,93 %;septembre
2017;Tablettes;7;50128;1178;82,59;0;7;<10%;mars
2017;Ordinateurs;7;161646;1091;250,5;2;7;<10%;avril
2017;Ordinateurs;7;173054;1142;253,19;2;7;<10%;mai
2017;Tablettes;7;192963;2878;172,6;2,2;7;28,46 %;mai
2018;Ordinateurs;7;5560;162;42,16;2,6;548,43;57,34 %;juillet
2017;Téléphones mobiles;7;28841;858;97,19;1,8;7;55,64 %;septembre
2017;Ordinateurs;7;52622;671;304,69;2,1;7;<10%;septembre
2018;Ordinateurs;7;80623;384;50,55;3,6;580,72;11,76 %;octobre
2018;Téléphones mobiles;6,9;212814;1825;64,94;2,5;462,83;<10%;janvier
2018;Téléphones mobiles;6,8;4203;170;48,71;1,9;481,49;34,80 %;mars
2018;Téléphones mobiles;6,8;14645;571;159,41;1,9;306,65;37,64 %;mars
2017;Ordinateurs;6,8;331642;1766;105,62;2,7;281,42;18,17 %;decembre
2018;Téléphones mobiles;6,7;20575;441;120,02;2,7;501,26;34,35 %;mai
2018;Téléphones mobiles;6,6;15709;448;141,53;1,9;442,45;66,75 %;janvier
2017;Ordinateurs;6,6;15390;285;107,5;1,9;230,12;81,91 %;decembre
2018;Ordinateurs;6,5;14338;104;43,33;2,7;670,04;37,80 %;juillet
2017;Ordinateurs;6,5;85800;964;120,05;1,7;120,53;43,02 %;octobre
2017;Tablettes;6;84640;938;269,39;1,8;6;23,20 %;janvier
2017;Téléphones mobiles;6;2129;62;2,42;3;6;<10%;fevrier
2017;Tablettes;6;110622;1531;89,09;2,3;6;14,55 %;fevrier
2016;Ordinateurs;6;129430;1096;196,91;2,6;6;23,22 %;juillet
2018;Téléphones mobiles;6;4816;129;35,87;2,8;837,8;64,70 %;aout
2016;Tablettes;6;20956;436;54,25;2,4;6;49,65 %;septembre
2016;Tablettes;6;126663;1644;100,1;3,1;6;13,60 %;octobre
2016;Ordinateurs;6;99700;647;108,64;2,9;6;16,61 %;novembre
2018;Ordinateurs;5,9;13649;165;51,31;1,5;403,38;68,64 %;mars
2018;Ordinateurs;5,57;18979;263;69,27;1,7;333,69;82,44 %;janvier
2018;Téléphones mobiles;5,52;97352;607;125,14;3;42,45;<10%;septembre
2018;Ordinateurs;5,5;15927;300;88,75;2,3;334,53;61,75 %;mai
2018;Tablettes;5,5;234;42;2,04;1,4;285,21;100,00 %;octobre
2018;Ordinateurs;5,48;27399;408;63,53;3;717,97;30,11 %;septembre
2018;Téléphones mobiles;5,4;10509;111;33,84;3,1;247,41;35,15 %;septembre
2018;Tablettes;5,4;361;44;3,01;1,7;516,58;97,56 %;septembre
2017;Ordinateurs;5,4;18593;322;115,6;1,8;288,24;81,32 %;novembre
2017;Ordinateurs;5,4;27033;404;142,11;2;469,92;72,81 %;novembre
2018;Ordinateurs;5,1;14499;281;91,68;2,4;310,9;62,32 %;janvier
2018;Ordinateurs;5,1;1614;94;43,44;2,1;339,77;56,08 %;octobre
2016;Ordinateurs;5;260812;1032;261;1,7;5;<10%;janvier
2018;Ordinateurs;5;4833;86;25,35;1,9;240,22;80,17 %;fevrier
2017;Tablettes;5;5259;166;86,87;2,7;5;57,09 %;mars
2017;Tablettes;5;3276;110;58,05;2,9;5;69,81 %;avril
2016;Tablettes;5;7614;475;46,9;2,3;5;46,36 %;mai
2017;Tablettes;5;18567;260;68,07;2,9;5;39,92 %;juin
2017;Tablettes;5;183819;2662;158,41;2;5;30,35 %;juin
2017;Tablettes;5;2732;104;73,58;2,1;5;78,17 %;aout
2017;Tablettes;5;137273;1763;104,35;2,1;5;31,97 %;aout
2016;Tablettes;5;7777;161;55,12;3;5;29,07 %;septembre
2016;Tablettes;5;138977;1734;105,53;2,8;5;16,57 %;novembre
2017;Ordinateurs;5;74106;785;330,67;2,3;495,21;<10%;decembre
2018;Téléphones mobiles;4,93;5050;202;57,1;2,7;247,18;66,11 %;mai
2017;Téléphones mobiles;4,93;12598;406;164,89;1,6;265,34;70,83 %;decembre
2018;Téléphones mobiles;4,9;17843;400;121,88;2,2;2567,86;35,89 %;mars
2018;Ordinateurs;4,8;20034;299;57,61;1,8;298,15;62,11 %;mars
2018;Tablettes;4,6;32184;646;79,55;0;418,43;24,66 %;octobre
2017;Téléphones mobiles;4,57;24356;421;153,42;1,6;352,69;75,44 %;novembre
2018;Téléphones mobiles;4,53;28847;716;79,04;2,5;249,43;40,53 %;septembre
2018;Téléphones mobiles;4,5;27961;410;34,58;2;367,43;42,11 %;janvier
2018;Ordinateurs;4,5;70640;485;114,33;2,5;249,85;41,28 %;mars
2018;Ordinateurs;4,2;11108;181;53,15;2,9;202,35;51,37 %;fevrier
2017;Ordinateurs;4,12;11485;223;109,24;1,8;8,43;41,11 %;octobre
2018;Tablettes;4,1;19531;364;118,05;0;194,48;50,62 %;aout
2018;Téléphones mobiles;4,03;3677;109;25,92;3,1;213,88;43,90 %;juin
2016;Tablettes;4;92724;1306;107,81;2;4;12,86 %;fevrier
2016;Ordinateurs;4;189342;1626;343,53;2;4;23,20 %;mars
2017;Ordinateurs;4;660;39;18,36;2,2;4;76,74 %;mars
2018;Ordinateurs;4;14060;267;75,16;2,9;262,05;36,07 %;avril
2018;Tablettes;4;1028;47;16,87;2,1;274,98;57,05 %;avril
